Field ID,Fertiliser production (kgC02eq/ha),Field N20 from fertiliser (kgC02eq/ha),Pesticide (kgC02eq/ha),C stock changes (kgC02eq/ha),Field energy use (kgC02eq/ha),Total (kgC02eq/ha)
BAU_n_h_HD-HR_1,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_n_h_HD-HR_2,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_n_h_HD-HR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_n_h_HD-HR_4,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_n_h_HD-HR_5,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_n_h_HD-HR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_n_h_LD-HR_1,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-HR_2,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-HR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_n_h_LD-HR_4,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-HR_5,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-HR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_n_h_LD-LR_1,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-LR_2,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-LR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_n_h_LD-LR_4,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-LR_5,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_n_h_LD-LR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_n_m_HD-HR_1,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526
BAU_n_m_HD-HR_2,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761
BAU_n_m_HD-HR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_n_m_HD-HR_4,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526
BAU_n_m_HD-HR_5,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761
BAU_n_m_HD-HR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_n_m_LD-HR_1,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_n_m_LD-HR_2,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_n_m_LD-HR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_n_m_LD-HR_4,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_n_m_LD-HR_5,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_n_m_LD-HR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_n_m_LD-LR_1,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_n_m_LD-LR_2,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_n_m_LD-LR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_n_m_LD-LR_4,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_n_m_LD-LR_5,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_n_m_LD-LR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_n_l_HD-HR_1,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338
BAU_n_l_HD-HR_2,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329
BAU_n_l_HD-HR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_n_l_HD-HR_4,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338
BAU_n_l_HD-HR_5,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329
BAU_n_l_HD-HR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_n_l_LD-HR_1,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_n_l_LD-HR_2,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_n_l_LD-HR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_n_l_LD-HR_4,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_n_l_LD-HR_5,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_n_l_LD-HR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_n_l_LD-LR_1,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_n_l_LD-LR_2,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_n_l_LD-LR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_n_l_LD-LR_4,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_n_l_LD-LR_5,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_n_l_LD-LR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_c_h_HD-HR_1,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_c_h_HD-HR_2,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_c_h_HD-HR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_c_h_HD-HR_4,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_c_h_HD-HR_5,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_c_h_HD-HR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_c_h_LD-HR_1,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-HR_2,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-HR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_c_h_LD-HR_4,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-HR_5,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-HR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_c_h_LD-LR_1,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-LR_2,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-LR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_c_h_LD-LR_4,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-LR_5,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_c_h_LD-LR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_c_m_HD-HR_1,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526
BAU_c_m_HD-HR_2,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761
BAU_c_m_HD-HR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_c_m_HD-HR_4,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526
BAU_c_m_HD-HR_5,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761
BAU_c_m_HD-HR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_c_m_LD-HR_1,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_c_m_LD-HR_2,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_c_m_LD-HR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_c_m_LD-HR_4,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_c_m_LD-HR_5,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_c_m_LD-HR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_c_m_LD-LR_1,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_c_m_LD-LR_2,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_c_m_LD-LR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_c_m_LD-LR_4,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_c_m_LD-LR_5,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_c_m_LD-LR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_c_l_HD-HR_1,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338
BAU_c_l_HD-HR_2,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329
BAU_c_l_HD-HR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_c_l_HD-HR_4,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338
BAU_c_l_HD-HR_5,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329
BAU_c_l_HD-HR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_c_l_LD-HR_1,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_c_l_LD-HR_2,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_c_l_LD-HR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_c_l_LD-HR_4,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_c_l_LD-HR_5,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_c_l_LD-HR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_c_l_LD-LR_1,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_c_l_LD-LR_2,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_c_l_LD-LR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_c_l_LD-LR_4,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_c_l_LD-LR_5,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_c_l_LD-LR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_e_h_HD-HR_1,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_e_h_HD-HR_2,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_e_h_HD-HR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_e_h_HD-HR_4,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_e_h_HD-HR_5,1345.142857,1978.57345,166.0008,0,43.46694179,3533.184049
BAU_e_h_HD-HR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_e_h_LD-HR_1,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-HR_2,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-HR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_e_h_LD-HR_4,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-HR_5,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-HR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_e_h_LD-LR_1,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-LR_2,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-LR_3,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_e_h_LD-LR_4,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-LR_5,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049
BAU_e_h_LD-LR_6,1161.714286,1663.150282,41,0,55.92590348,2921.790471
BAU_e_m_HD-HR_1,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526
BAU_e_m_HD-HR_2,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761
BAU_e_m_HD-HR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_e_m_HD-HR_4,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526
BAU_e_m_HD-HR_5,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761
BAU_e_m_HD-HR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_e_m_LD-HR_1,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_e_m_LD-HR_2,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_e_m_LD-HR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_e_m_LD-HR_4,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_e_m_LD-HR_5,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_e_m_LD-HR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_e_m_LD-LR_1,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_e_m_LD-LR_2,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_e_m_LD-LR_3,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_e_m_LD-LR_4,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526
BAU_e_m_LD-LR_5,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761
BAU_e_m_LD-LR_6,1161.714286,829.348723,41,0,46.25251689,2078.315526
BAU_e_l_HD-HR_1,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338
BAU_e_l_HD-HR_2,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329
BAU_e_l_HD-HR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_e_l_HD-HR_4,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338
BAU_e_l_HD-HR_5,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329
BAU_e_l_HD-HR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_e_l_LD-HR_1,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_e_l_LD-HR_2,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_e_l_LD-HR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_e_l_LD-HR_4,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_e_l_LD-HR_5,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_e_l_LD-HR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_e_l_LD-LR_1,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_e_l_LD-LR_2,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_e_l_LD-LR_3,1161.714286,1136.910397,41,0,36.5791303,2376.203813
BAU_e_l_LD-LR_4,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338
BAU_e_l_LD-LR_5,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329
BAU_e_l_LD-LR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
CWW_n_h_HD-HR_1,1345.142857,2890.099252,218.9154,0,109.6116674,4563.769177
CWW_n_h_HD-HR_2,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_3,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_4,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_5,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_6,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_LD-HR_1,1345.142857,2890.099252,189.3954,0,109.6116674,4534.249177
CWW_n_h_LD-HR_2,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_3,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_4,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_5,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_6,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_1,1345.142857,2890.099252,189.3954,0,109.6116674,4534.249177
CWW_n_h_LD-LR_2,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_3,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_4,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_5,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_6,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_m_HD-HR_1,1345.142857,1976.656534,218.9154,0,92.68608816,3633.40088
CWW_n_m_HD-HR_2,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_n_m_HD-HR_3,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_n_m_HD-HR_4,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_n_m_HD-HR_5,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_n_m_HD-HR_6,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_n_m_LD-HR_1,1345.142857,1976.656534,189.3954,0,92.68608816,3603.88088
CWW_n_m_LD-HR_2,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-HR_3,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-HR_4,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-HR_5,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-HR_6,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-LR_1,1345.142857,1976.656534,189.3954,0,92.68608816,3603.88088
CWW_n_m_LD-LR_2,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-LR_3,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-LR_4,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-LR_5,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_m_LD-LR_6,1345.142857,1976.656534,189.3954,0,59.35090104,3570.545692
CWW_n_l_HD-HR_1,1161.714286,2406.494278,218.9154,0,75.76050895,3862.884473
CWW_n_l_HD-HR_2,1161.714286,2406.494278,218.9154,0,55.71656567,3842.84053
CWW_n_l_HD-HR_3,1161.714286,2406.494278,218.9154,0,55.71656567,3842.84053
CWW_n_l_HD-HR_4,1161.714286,2406.494278,218.9154,0,55.71656567,3842.84053
CWW_n_l_HD-HR_5,1161.714286,2406.494278,218.9154,0,55.71656567,3842.84053
CWW_n_l_HD-HR_6,1161.714286,2406.494278,218.9154,0,55.71656567,3842.84053
CWW_n_l_LD-HR_1,1161.714286,2406.494278,189.3954,0,75.76050895,3833.364473
CWW_n_l_LD-HR_2,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-HR_3,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-HR_4,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-HR_5,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-HR_6,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-LR_1,1161.714286,2406.494278,189.3954,0,75.76050895,3833.364473
CWW_n_l_LD-LR_2,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-LR_3,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-LR_4,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-LR_5,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_n_l_LD-LR_6,1161.714286,2406.494278,189.3954,0,55.71656567,3813.32053
CWW_c_h_HD-HR_1,1345.142857,2890.099252,218.9154,0,109.6116674,4563.769177
CWW_c_h_HD-HR_2,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_c_h_HD-HR_3,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_c_h_HD-HR_4,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_c_h_HD-HR_5,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_c_h_HD-HR_6,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_c_h_LD-HR_1,1345.142857,2890.099252,189.3954,0,109.6116674,4534.249177
CWW_c_h_LD-HR_2,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-HR_3,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-HR_4,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-HR_5,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-HR_6,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-LR_1,1345.142857,2890.099252,189.3954,0,109.6116674,4534.249177
CWW_c_h_LD-LR_2,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-LR_3,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-LR_4,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-LR_5,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_h_LD-LR_6,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_c_m_HD-HR_1,1345.142857,1976.656534,218.9154,0,92.68608816,3633.40088
CWW_c_m_HD-HR_2,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_c_m_HD-HR_3,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_c_m_HD-HR_4,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_c_m_HD-HR_5,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_c_m_HD-HR_6,1345.142857,1976.656534,218.9154,0,59.35090104,3600.065692
CWW_c_m_LD-HR_1,1345.142857,1976.656534,189.3954,0,92.68608816,3603.88088
